newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,((*,*),((*,(*,*)),((*,(*,*)),(*,(*,*))))));	23	55	119	270	4	32
(*,((*,*),((*,(*,(*,*))),(*,(*,(*,(*,*)))))));	27	57	122	288	3	8
(*,((*,*),((*,(*,(*,*))),(*,((*,*),(*,*))))));	24	56	120	291	4	32
(*,((*,*),((*,(*,(*,*))),((*,*),(*,(*,*))))));	23	55	117	297	4	16
(*,((*,*),((*,(*,(*,(*,*)))),((*,*),(*,*)))));	24	56	120	291	4	32
(*,((*,*),((*,((*,*),(*,*))),((*,*),(*,*)))));	21	55	118	294	5	128
(*,((*,*),(((*,*),(*,*)),((*,*),(*,(*,*))))));	20	54	115	300	5	64
(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,(*,*)))))))));	37	63	143	252	2	4
(*,((*,(*,*)),(*,(*,(*,(*,((*,*),(*,*))))))));	34	62	141	255	3	16
(*,((*,(*,*)),(*,(*,(*,((*,*),(*,(*,*))))))));	33	61	138	261	3	8
(*,((*,(*,*)),(*,(*,((*,*),(*,(*,(*,*))))))));	32	60	134	270	3	8
(*,((*,(*,*)),(*,(*,((*,*),((*,*),(*,*)))))));	29	59	132	273	4	32
(*,((*,(*,*)),(*,(*,((*,(*,*)),(*,(*,*)))))));	29	59	131	279	3	16
(*,((*,(*,*)),(*,((*,*),(*,(*,(*,(*,*))))))));	31	59	129	282	3	8
(*,((*,(*,*)),(*,((*,*),(*,((*,*),(*,*)))))));	28	58	127	285	4	32
(*,((*,(*,*)),(*,((*,*),((*,*),(*,(*,*)))))));	27	57	124	291	4	16
(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,(*,*)))))));	27	57	122	306	3	8
(*,((*,(*,*)),(*,((*,(*,*)),((*,*),(*,*))))));	24	56	120	309	4	32
(*,((*,(*,*)),((*,*),(*,(*,(*,(*,(*,*))))))));	30	58	123	297	3	8
(*,((*,(*,*)),((*,*),(*,(*,((*,*),(*,*)))))));	27	57	121	300	4	32
(*,((*,(*,*)),((*,*),(*,((*,*),(*,(*,*)))))));	26	56	118	306	4	16
(*,((*,(*,*)),((*,*),((*,*),(*,(*,(*,*)))))));	25	55	114	315	4	16
(*,((*,(*,*)),((*,*),((*,*),((*,*),(*,*))))));	22	54	112	318	5	64
(*,((*,(*,*)),((*,*),((*,(*,*)),(*,(*,*))))));	22	54	111	324	4	32
(*,((*,(*,*)),((*,(*,*)),(*,(*,(*,(*,*)))))));	25	55	111	342	3	8
(*,((*,(*,*)),((*,(*,*)),(*,((*,*),(*,*))))));	22	54	109	345	4	32
(*,((*,(*,*)),((*,(*,*)),((*,*),(*,(*,*))))));	21	53	106	351	4	16
(*,((*,(*,*)),((*,(*,(*,*))),(*,(*,(*,*))))));	22	54	107	360	3	16
(*,((*,(*,*)),((*,(*,(*,*))),((*,*),(*,*)))));	19	53	105	363	4	32
(*,((*,(*,*)),(((*,*),(*,*)),((*,*),(*,*)))));	16	52	103	366	5	256
(*,((*,(*,(*,*))),(*,(*,(*,(*,(*,(*,*))))))));	31	59	121	378	2	4
(*,((*,(*,(*,*))),(*,(*,(*,((*,*),(*,*)))))));	28	58	119	381	3	16
(*,((*,(*,(*,*))),(*,(*,((*,*),(*,(*,*)))))));	27	57	116	387	3	8
(*,((*,(*,(*,*))),(*,((*,*),(*,(*,(*,*)))))));	26	56	112	396	3	8
(*,((*,(*,(*,*))),(*,((*,*),((*,*),(*,*))))));	23	55	110	399	4	32
(*,((*,(*,(*,*))),(*,((*,(*,*)),(*,(*,*))))));	23	55	109	405	3	16
(*,((*,(*,(*,*))),((*,*),(*,(*,(*,(*,*)))))));	25	55	107	408	3	8
(*,((*,(*,(*,*))),((*,*),(*,((*,*),(*,*))))));	22	54	105	411	4	32
(*,((*,(*,(*,*))),((*,*),((*,*),(*,(*,*))))));	21	53	102	417	4	16
(*,((*,(*,(*,*))),((*,(*,*)),(*,(*,(*,*))))));	21	53	100	432	3	8
(*,((*,(*,(*,*))),((*,(*,*)),((*,*),(*,*)))));	18	52	98	435	4	32
(*,((*,(*,(*,(*,*)))),(*,(*,(*,(*,(*,*)))))));	27	57	110	450	2	4
(*,((*,(*,(*,(*,*)))),(*,(*,((*,*),(*,*))))));	24	56	108	453	3	16
(*,((*,(*,(*,(*,*)))),(*,((*,*),(*,(*,*))))));	23	55	105	459	3	8
(*,((*,(*,(*,(*,*)))),((*,*),(*,(*,(*,*))))));	22	54	101	468	3	8
(*,((*,(*,(*,(*,*)))),((*,*),((*,*),(*,*)))));	19	53	99	471	4	32
(*,((*,(*,(*,(*,*)))),((*,(*,*)),(*,(*,*)))));	19	53	98	477	3	16
(*,((*,(*,(*,(*,(*,*))))),(*,((*,*),(*,*)))));	24	56	108	453	3	16
(*,((*,(*,(*,(*,(*,*))))),((*,*),(*,(*,*)))));	23	55	105	459	3	8
(*,((*,(*,(*,(*,(*,(*,*)))))),((*,*),(*,*))));	28	58	119	381	3	16
(*,((*,(*,(*,((*,*),(*,*))))),((*,*),(*,*))));	25	57	117	384	4	64
(*,((*,(*,((*,*),(*,*)))),(*,((*,*),(*,*)))));	21	55	106	456	4	64
(*,((*,(*,((*,*),(*,*)))),((*,*),(*,(*,*)))));	20	54	103	462	4	32
(*,((*,(*,((*,*),(*,(*,*))))),((*,*),(*,*))));	24	56	114	390	4	32
(*,((*,((*,*),(*,*))),(*,((*,*),(*,(*,*))))));	20	54	103	462	4	32
(*,((*,((*,*),(*,*))),((*,*),(*,(*,(*,*))))));	19	53	99	471	4	32
(*,((*,((*,*),(*,*))),((*,*),((*,*),(*,*)))));	16	52	97	474	5	128
(*,((*,((*,*),(*,*))),((*,(*,*)),(*,(*,*)))));	16	52	96	480	4	64
(*,((*,((*,*),(*,(*,*)))),((*,*),(*,(*,*)))));	19	53	100	468	4	16
(*,((*,((*,*),(*,(*,(*,*))))),((*,*),(*,*))));	23	55	110	399	4	32
(*,((*,((*,*),((*,*),(*,*)))),((*,*),(*,*))));	20	54	108	402	5	128
(*,((*,((*,(*,*)),(*,(*,*)))),((*,*),(*,*))));	20	54	107	408	4	64
(*,(((*,*),(*,*)),((*,*),(*,(*,(*,(*,*)))))));	22	54	105	411	4	32
(*,(((*,*),(*,*)),((*,*),(*,((*,*),(*,*))))));	19	53	103	414	5	128
(*,(((*,*),(*,*)),((*,*),((*,*),(*,(*,*))))));	18	52	100	420	5	64
(*,(((*,*),(*,*)),((*,(*,*)),(*,(*,(*,*))))));	18	52	98	435	4	32
(*,(((*,*),(*,*)),((*,(*,*)),((*,*),(*,*)))));	15	51	96	438	5	128
(*,(((*,*),(*,(*,*))),((*,*),(*,(*,(*,*))))));	18	52	96	477	4	16
(*,(((*,*),(*,(*,*))),((*,*),((*,*),(*,*)))));	15	51	94	480	5	64
(*,(((*,*),(*,(*,*))),((*,(*,*)),(*,(*,*)))));	15	51	93	486	4	32
((*,*),(*,(*,(*,(*,(*,(*,(*,(*,(*,*))))))))));	44	68	166	135	2	4
((*,*),(*,(*,(*,(*,(*,(*,((*,*),(*,*)))))))));	41	67	164	138	3	16
((*,*),(*,(*,(*,(*,(*,((*,*),(*,(*,*)))))))));	40	66	161	144	3	8
((*,*),(*,(*,(*,(*,((*,*),(*,(*,(*,*)))))))));	39	65	157	153	3	8
((*,*),(*,(*,(*,(*,((*,*),((*,*),(*,*))))))));	36	64	155	156	4	32
((*,*),(*,(*,(*,(*,((*,(*,*)),(*,(*,*))))))));	36	64	154	162	3	16
((*,*),(*,(*,(*,((*,*),(*,(*,(*,(*,*)))))))));	38	64	152	165	3	8
((*,*),(*,(*,(*,((*,*),(*,((*,*),(*,*))))))));	35	63	150	168	4	32
((*,*),(*,(*,(*,((*,*),((*,*),(*,(*,*))))))));	34	62	147	174	4	16
((*,*),(*,(*,(*,((*,(*,*)),(*,(*,(*,*))))))));	34	62	145	189	3	8
((*,*),(*,(*,(*,((*,(*,*)),((*,*),(*,*)))))));	31	61	143	192	4	32
((*,*),(*,(*,((*,*),(*,(*,(*,(*,(*,*)))))))));	37	63	146	180	3	8
((*,*),(*,(*,((*,*),(*,(*,((*,*),(*,*))))))));	34	62	144	183	4	32
((*,*),(*,(*,((*,*),(*,((*,*),(*,(*,*))))))));	33	61	141	189	4	16
((*,*),(*,(*,((*,*),((*,*),(*,(*,(*,*))))))));	32	60	137	198	4	16
((*,*),(*,(*,((*,*),((*,*),((*,*),(*,*)))))));	29	59	135	201	5	64
((*,*),(*,(*,((*,*),((*,(*,*)),(*,(*,*)))))));	29	59	134	207	4	32
((*,*),(*,(*,((*,(*,*)),(*,(*,(*,(*,*))))))));	32	60	134	225	3	8
((*,*),(*,(*,((*,(*,*)),(*,((*,*),(*,*)))))));	29	59	132	228	4	32
((*,*),(*,(*,((*,(*,*)),((*,*),(*,(*,*)))))));	28	58	129	234	4	16
((*,*),(*,(*,((*,(*,(*,*))),(*,(*,(*,*)))))));	29	59	130	243	3	16
((*,*),(*,(*,((*,(*,(*,*))),((*,*),(*,*))))));	26	58	128	246	4	32
((*,*),(*,(*,(((*,*),(*,*)),((*,*),(*,*))))));	23	57	126	249	5	256
((*,*),(*,((*,*),(*,(*,(*,(*,(*,(*,*)))))))));	36	62	139	198	3	8
((*,*),(*,((*,*),(*,(*,(*,((*,*),(*,*))))))));	33	61	137	201	4	32
((*,*),(*,((*,*),(*,(*,((*,*),(*,(*,*))))))));	32	60	134	207	4	16
((*,*),(*,((*,*),(*,((*,*),(*,(*,(*,*))))))));	31	59	130	216	4	16
((*,*),(*,((*,*),(*,((*,*),((*,*),(*,*)))))));	28	58	128	219	5	64
((*,*),(*,((*,*),(*,((*,(*,*)),(*,(*,*)))))));	28	58	127	225	4	32
((*,*),(*,((*,*),((*,*),(*,(*,(*,(*,*))))))));	30	58	125	228	4	16
